Date,Open,High,Low,Close,Adj Close,Volume
2023-05-11,14.97,14.98,14.69,14.81,14.81,1803900
2023-05-10,16.040001,16.15,16.01,16.049999,16.049999,701500
2023-05-09,15.92,16.059999,15.91,16.02,16.02,810000
2023-05-08,16.040001,16.110001,16.040001,16.1,16.1,749500
2023-05-05,16.0,16.27,15.99,16.24,16.24,826500
2023-05-04,15.93,16.08,15.85,16.02,16.02,513400
2023-05-03,15.79,15.92,15.74,15.78,15.78,635700
2023-05-02,15.84,15.9,15.65,15.78,15.78,1100600
2023-05-01,16.34,16.459999,16.290001,16.4,15.768,322000
2023-04-28,16.209999,16.35,16.120001,16.34,15.710312,228000
2023-04-27,16.469999,16.469999,16.33,16.360001,15.729542,437300
2023-04-26,16.799999,16.809999,16.43,16.49,15.854531,1025300
2023-04-25,16.68,16.700001,16.459999,16.469999,15.835301,766700
2023-04-24,16.6,16.68,16.559999,16.67,16.027596,819600
2023-04-21,16.549999,16.719999,16.52,16.690001,16.046825,1002000
2023-04-20,16.73,16.83,16.700001,16.74,16.094896,532800
2023-04-19,16.719999,16.84,16.68,16.809999,16.162199,286800
2023-04-18,16.940001,16.940001,16.809999,16.860001,16.210274,318600
2023-04-17,16.9,16.940001,16.799999,16.84,16.191044,325700
2023-04-14,16.99,17.0,16.85,16.91,16.258347,273700
2023-04-13,16.73,16.959999,16.73,16.92,16.267962,1023400
2023-04-12,16.42,16.59,16.35,16.5,15.864146,1393900
2023-04-11,16.450001,16.52,16.43,16.459999,15.825686,921500
2023-04-10,16.360001,16.540001,16.35,16.530001,15.89299,194500
2023-04-06,16.49,16.65,16.469999,16.610001,15.969908,292600
2023-04-05,16.26,16.35,16.209999,16.26,15.633395,497900
2023-04-04,16.120001,16.219999,16.049999,16.09,15.469946,965300
2023-04-03,16.09,16.18,16.059999,16.17,15.546864,451900
2023-03-31,15.99,16.040001,15.89,15.93,15.316113,1048500
2023-03-30,15.67,15.87,15.66,15.86,15.248809,978800
2023-03-29,15.58,15.6,15.47,15.56,14.960371,247900
2023-03-28,15.43,15.45,15.29,15.29,14.700775,894600
2023-03-27,15.14,15.2,15.09,15.2,14.614244,244500
2023-03-24,14.95,15.09,14.8,15.03,14.450794,925700
2023-03-23,15.33,15.34,15.04,15.17,14.5854,2129600
2023-03-22,15.39,15.62,15.31,15.39,14.796922,1126200
2023-03-21,15.46,15.5,15.4,15.5,14.902682,1088100
2023-03-20,15.07,15.2,15.05,15.09,14.508483,1022100
2023-03-17,14.87,15.02,14.83,14.92,14.345034,1804500
2023-03-16,14.75,14.98,14.64,14.96,14.383492,1513600
2023-03-15,14.79,14.96,14.73,14.86,14.287346,1318500
2023-03-14,15.41,15.5,15.32,15.38,14.787307,801500
2023-03-13,15.1,15.27,15.04,15.07,14.489253,1605200
2023-03-10,15.35,15.46,15.26,15.28,14.69116,1076100
2023-03-09,15.36,15.44,15.24,15.26,14.671931,1996800
2023-03-08,15.47,15.54,15.38,15.42,14.825766,905700
2023-03-07,15.4,15.4,15.1,15.16,14.575785,4057500
2023-03-06,15.33,15.42,15.29,15.4,14.806536,1745300
2023-03-03,15.22,15.35,15.2,15.34,14.748849,1139800
2023-03-02,14.99,15.12,14.96,15.11,14.527712,2510200
2023-03-01,14.95,15.12,14.94,15.03,14.450794,763400
2023-02-28,15.23,15.26,14.87,14.87,14.296961,1770100
2023-02-27,15.7,15.72,15.52,15.57,14.969985,317800
2023-02-24,15.75,15.77,15.5,15.54,14.941141,444600
2023-02-23,15.95,16.08,15.87,16.08,15.460331,649300
2023-02-22,15.68,15.76,15.64,15.68,15.075747,216800
2023-02-21,15.92,15.96,15.65,15.67,15.066132,726600
2023-02-17,15.8,15.97,15.76,15.97,15.35457,467200
2023-02-16,15.82,15.88,15.71,15.86,15.248809,560900
2023-02-15,15.98,16.1,15.95,16.07,15.450716,465800
2023-02-14,16.23,16.41,16.209999,16.299999,15.671852,867800
2023-02-13,15.88,16.059999,15.85,16.049999,15.431487,456500
