Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,75.129997,75.989998,74.910004,75.650002,56.973568,1175155
2019-04-16,76.000000,76.680000,75.730003,76.400002,57.538410,1587145
2019-04-17,77.099998,78.040001,76.309998,77.250000,58.178570,2357190
2019-04-18,77.199997,78.300003,76.849998,77.750000,58.555126,2868292
2019-04-23,77.750000,78.190002,77.410004,77.500000,58.366844,1139985
2019-04-24,76.400002,77.269997,75.889999,76.470001,57.591133,1779199
2019-04-25,76.320000,76.559998,75.769997,75.779999,57.071472,1453960
2019-04-26,75.910004,76.459999,75.570000,76.199997,57.387783,1289602
2019-04-29,76.160004,76.760002,75.790001,75.889999,57.154320,899246
2019-04-30,75.510002,75.900002,75.190002,75.900002,57.161846,1217765
2019-05-02,75.690002,76.779999,75.480003,75.800003,57.086544,1694344
2019-05-03,75.529999,75.800003,75.260002,75.669998,56.988628,1047600
2019-05-06,73.019997,74.019997,72.160004,74.000000,55.730919,2560420
2019-05-07,73.500000,73.750000,71.430000,72.279999,54.435558,2524460
2019-05-08,71.610001,71.800003,69.910004,71.379997,53.757748,2863706
2019-05-09,70.910004,70.980003,68.690002,69.300003,52.191254,3095227
2019-05-10,69.879997,70.120003,68.639999,68.870003,51.867416,3311601
2019-05-13,68.800003,68.800003,67.029999,68.059998,51.257385,2857093
2019-05-14,68.669998,68.699997,67.419998,67.879997,51.121822,2065886
2019-05-15,68.300003,71.300003,66.529999,70.000000,52.718437,4082038
2019-05-16,70.040001,70.570000,68.930000,69.800003,52.567814,3459647
2019-05-17,66.529999,66.690002,65.070000,66.160004,52.456818,3285738
2019-05-20,66.260002,66.489998,64.209999,64.809998,51.386421,2335299
2019-05-21,65.080002,65.580002,64.260002,64.629997,51.243706,1678585
2019-05-22,64.730003,64.949997,63.459999,64.230003,50.926559,1972263
2019-05-23,63.230000,63.660000,62.759998,63.389999,50.260536,2323587
2019-05-24,64.029999,64.330002,63.330002,63.470001,50.323967,1678062
2019-05-27,64.550003,64.980003,63.340000,63.759998,50.553902,1328854
2019-05-28,64.000000,64.599998,63.599998,63.840000,50.617332,1653216
2019-05-29,63.230000,63.459999,62.880001,63.150002,50.070248,1499372
2019-05-30,63.320000,63.650002,62.860001,63.049999,49.990959,799538
2019-05-31,61.820000,62.150002,61.410000,62.020000,49.174294,2000917
2019-06-03,61.700001,61.880001,61.139999,61.639999,48.873001,1838410
2019-06-04,61.560001,63.709999,61.320000,63.430000,50.292255,2567653
2019-06-05,63.430000,63.590000,62.330002,63.020000,49.967175,1484186
2019-06-06,62.650002,63.259998,61.730000,62.340000,49.428017,1947794
2019-06-07,62.720001,62.790001,62.009998,62.320000,49.412159,1249390
2019-06-11,62.830002,63.680000,62.299999,62.980000,49.935459,1922832
2019-06-12,62.590000,62.930000,62.400002,62.639999,49.665882,1230534
2019-06-13,62.299999,63.049999,61.849998,62.779999,49.776882,1198900
2019-06-14,62.580002,62.660000,62.040001,62.459999,49.523159,1115793
2019-06-17,62.630001,62.860001,62.099998,62.099998,49.237724,1211681
2019-06-18,62.349998,63.930000,61.660000,63.610001,50.434971,2545539
2019-06-19,63.509998,64.500000,63.400002,64.199997,50.902767,1348744
2019-06-20,64.680000,65.029999,64.410004,64.559998,51.188202,1722902
2019-06-21,64.500000,64.779999,64.250000,64.440002,51.093063,3721158
2019-06-24,64.099998,64.220001,63.340000,63.639999,50.458755,1857142
2019-06-25,63.299999,63.660000,63.060001,63.150002,50.070248,1400333
2019-06-26,62.810001,64.750000,62.770000,64.570000,51.196133,2259169
2019-06-27,64.610001,65.620003,64.610001,64.849998,51.418137,2436122
2019-06-28,65.160004,65.330002,64.389999,65.089996,51.608429,2059202
2019-07-01,66.519997,67.040001,65.099998,65.099998,51.616356,2156223
